ID	Sentence	AG	US	GRP	OTHER	OPP	SELF	WMN
224	CLINTON : Will they raise incomes in America ?	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
225	CLINTON : And are they good for our national security ?	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
226	CLINTON : Some of them I voted for .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
227	CLINTON : The biggest one , a multinational one known as CAFTA , I voted against .	NONE	US-negative	NONE	NONE	NONE	SELF-neutral	NONE
228	CLINTON : And because I hold the same standards as I look at all of these trade deals .	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
229	CLINTON : But let 's not assume that trade is the only challenge we have in the economy .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
230	CLINTON : I think it is a part of it , and I 've said what I 'm going to do .	AG-neutral	NONE	NONE	NONE	NONE	SELF-neutral	NONE
231	CLINTON : I 'm going to have a special prosecutor .	AG-positive	NONE	NONE	NONE	NONE	NONE	NONE
232	CLINTON : We 're going to enforce the trade deals we have , and we 're going to hold people accountable .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
233	CLINTON : When I was secretary of state , we actually increased American exports globally 30 percent .	NONE	US-positive	NONE	NONE	NONE	SELF-positive	NONE
234	CLINTON : We increased them to China 50 percent .	NONE	US-positive	GRP-neutral	NONE	NONE	NONE	NONE
235	CLINTON : So I know how to really work to get new jobs and to get exports that helped to create more new jobs .	AG-positive	US-positive	NONE	NONE	NONE	SELF-positive	NONE
236	HOLT : Very quickly ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
237	TRUMP : But you have n't done it in 30 years or 26 years or any number you want to ...	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
238	CLINTON : Well , I 've been a senator , Donald ...	NONE	US-neutral	NONE	NONE	NONE	SELF-positive	NONE
239	TRUMP : You have n't done it .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
240	TRUMP : You have n't done it .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
241	CLINTON : And I have been a secretary of state ...	NONE	US-neutral	NONE	NONE	NONE	SELF-positive	NONE
242	TRUMP : Excuse me .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
243	CLINTON : And I have done a lot ...	NONE	NONE	NONE	NONE	NONE	SELF-positive	NONE
244	TRUMP : Your husband signed NAFTA , which was one of the worst things that ever happened to the manufacturing industry .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
245	CLINTON : Well , that 's your opinion .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
246	CLINTON : That is your opinion .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
247	TRUMP : You go to New England , you go to Ohio , Pennsylvania , you go anywhere you want , Secretary Clinton , and you will see devastation where manufacture is down 30 , 40 , sometimes 50 percent .	NONE	US-negative	NONE	NONE	OPP-neutral	NONE	NONE
248	TRUMP : NAFTA is the worst trade deal maybe ever signed anywhere , but certainly ever signed in this country .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
249	TRUMP : And now you want to approve Trans-Pacific Partnership .	NONE	US-neutral	NONE	NONE	OPP-neutral	NONE	NONE
250	TRUMP : You were totally in favor of it .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
251	TRUMP : Then you heard what I was saying , how bad it is , and you said , I ca n't win that debate .	NONE	NONE	NONE	NONE	OPP-neutral	SELF-neutral	NONE
252	TRUMP : But you know that if you did win , you would approve that , and that will be almost as bad as NAFTA.	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
253	TRUMP : Nothing will ever top NAFTA .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
254	CLINTON : Well , that is just not accurate .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
255	CLINTON : I was against it once it was finally negotiated and the terms were laid out .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
256	CLINTON : I wrote about that in ...	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
257	TRUMP : You called it the gold standard .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
258	TRUMP : You called it the gold standard of trade deals .	NONE	US-neutral	NONE	NONE	OPP-neutral	NONE	NONE
259	TRUMP : You said it 's the finest deal you 've ever seen .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
260	CLINTON : No.	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
261	TRUMP : And then you heard what I said about it , and all of a sudden you were against it .	NONE	NONE	NONE	NONE	OPP-negative	SELF-neutral	NONE
262	CLINTON : Well , Donald , I know you live in your own reality , but that is not the facts .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
263	CLINTON : The facts are - I did say I hoped it would be a good deal , but when it was negotiated ...	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
264	TRUMP : Not .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
265	CLINTON : ... which I was not responsible for , I concluded it was n't .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
266	CLINTON : I wrote about that in my book ...	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
267	TRUMP : So is it President Obama 's fault ?	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
268	CLINTON : ... before you even announced .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
269	TRUMP : Is it President Obama 's fault ?	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
270	CLINTON : Look , there are differences ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
271	TRUMP : Secretary , is it President Obama 's fault ?	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
272	CLINTON : There are ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
273	TRUMP : Because he 's pushing it .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
274	CLINTON : There are different views about what 's good for our country , our economy , and our leadership in the world .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
275	CLINTON : And I think it 's important to look at what we need to do to get the economy going again .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
276	CLINTON : That 's why I said new jobs with rising incomes , investments , not in more tax cuts that would add $ 5 trillion to the debt .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
277	TRUMP : But you have no plan .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
278	CLINTON : But in - oh , but I do .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
279	TRUMP : Secretary , you have no plan .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
280	CLINTON : In fact , I have written a book about it .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
281	CLINTON : It 's called " Stronger Together . "	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
282	CLINTON : You can pick it up tomorrow at a bookstore ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
283	TRUMP : That 's about all you 've ...	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
284	HOLT : Folks , we 're going to...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
285	CLINTON : ... or at an airport near you .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
286	HOLT : We 're going to move to ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
287	CLINTON : But it 's because I see this - we need to have strong growth , fair growth , sustained growth .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
288	CLINTON : We also have to look at how we help families balance the responsibilities at home and the responsibilities at business .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
289	CLINTON : So we have a very robust set of plans .	AG-positive	NONE	NONE	NONE	NONE	NONE	NONE
290	CLINTON : And people have looked at both of our plans , have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs , and explode the debt which would have a recession .	AG-positive	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
291	TRUMP : You are going to approve one of the biggest tax cuts in history .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
292	TRUMP : You are going to approve one of the biggest tax increases in history .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
293	TRUMP : You are going to drive business out .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
294	TRUMP : Your regulations are a disaster , and you 're going to increase regulations all over the place .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
295	TRUMP : And by the way , my tax cut is the biggest since Ronald Reagan .	AG-positive	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
296	TRUMP : I 'm very proud of it .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
297	TRUMP : It will create tremendous numbers of new jobs .	AG-positive	US-neutral	NONE	NONE	NONE	NONE	NONE
298	TRUMP : But regulations , you are going to regulate these businesses out of existence .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
299	TRUMP : When I go around - Lester , I tell you this , I 've been all over .	NONE	NONE	NONE	NONE	NONE	SELF-positive	NONE
300	TRUMP : And when I go around , despite the tax cut , the thing - the things that business as in people like the most is the fact that I 'm cutting regulation .	AG-neutral	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
301	TRUMP : You have regulations on top of regulations , and new companies cannot form and old companies are going out of business .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
302	TRUMP : And you want to increase the regulations and make them even worse .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
303	TRUMP : I 'm going to cut regulations .	AG-neutral	NONE	NONE	NONE	NONE	SELF-neutral	NONE
304	TRUMP : I 'm going to cut taxes big league , and you 're going to raise taxes big league , end of story .	AG-neutral	US-neutral	NONE	NONE	OPP-neutral	SELF-neutral	NONE
305	HOLT : Let me get you to pause right there , because we 're going to move into - we 're going to move into the next segment .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
306	HOLT : We 're going to talk taxes ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
307	CLINTON : That ca n't - that ca n't be left to stand .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
308	HOLT : Please just take 30 seconds and then we 're going to go on .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
309	CLINTON : I kind of assumed that there would be a lot of these charges and claims , and so ...	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
310	TRUMP : Facts .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
311	CLINTON : So we have taken the home page of my website , HillaryClinton.com ,	NONE	NONE	NONE	NONE	NONE	NONE	NONE
312	and we 've turned it into a fact-checker .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
313	CLINTON : So if you want to see in real-time what the facts are , please go and take a look .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
314	CLINTON : Because what I have proposed ...	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
315	TRUMP : And take a look at mine , also , and you 'll see .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
316	CLINTON : ... would not add a penny to the debt , and your plans would add $ 5 trillion to the debt .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
317	CLINTON : What I have proposed would cut regulations and streamline them for small businesses .	AG-neutral	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
318	CLINTON : What I have proposed would be paid for by raising taxes on the wealthy , because they have made all the gains in the economy .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
319	CLINTON : And I think it 's time that the wealthy and corporations paid their fair share to support this country .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
320	HOLT : Well , you just opened the next segment .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
321	TRUMP : Well , could I just finish - I think I ...	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
322	HOLT : I 'm going to give you a chance right here ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
323	TRUMP : I think I should - you go to her website , and you take a look at her website .	NONE	NONE	NONE	NONE	OPP-neutral	SELF-neutral	NONE
324	HOLT : ... with a new 15-minute segment ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
325	TRUMP : She 's going to raise taxes $ 1.3 trillion .	NONE	US-neutral	NONE	NONE	OPP-neutral	NONE	NONE
326	HOLT : Mr. Trump , I 'm going to ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
327	TRUMP : And look at her website .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
328	TRUMP : You know what ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
329	TRUMP : It 's no difference than this .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
330	TRUMP : She 's telling us how to fight ISIS .	NONE	NONE	GRP-neutral	NONE	OPP-neutral	NONE	NONE
331	TRUMP : Just go to her website .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
332	TRUMP : She tells you how to fight ISIS on her website .	NONE	NONE	GRP-neutral	NONE	OPP-neutral	NONE	NONE
333	TRUMP : I do n't think General Douglas MacArthur would like that too much .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
334	HOLT : The next segment , we 're continuing ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
335	CLINTON : Well , at least I have a plan to fight ISIS .	AG-neutral	NONE	GRP-negative	NONE	NONE	SELF-positive	NONE
336	HOLT : ... achieving prosperity ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
337	TRUMP : No, no , you 're telling the enemy everything you want to do .	NONE	NONE	GRP-negative	NONE	OPP-negative	NONE	NONE
338	CLINTON : No, we 're not .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
339	CLINTON : No, we 're not .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
340	TRUMP : See , you 're telling the enemy everything you want to do .	NONE	NONE	GRP-negative	NONE	OPP-negative	NONE	NONE
341	TRUMP : No wonder you 've been fighting - no wonder you 've been fighting ISIS your entire adult life .	NONE	NONE	GRP-neutral	NONE	OPP-neutral	NONE	NONE
342	CLINTON : That 's a - that 's - go to the - please , fact checkers , get to work .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
343	HOLT : OK , you are unpacking a lot here .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
344	HOLT : And we 're still on the issue of achieving prosperity .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
345	HOLT : And I want to talk about taxes .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
346	HOLT : The fundamental difference between the two of you concerns the wealthy .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
347	HOLT : Secretary Clinton , you 're calling for a tax increase on the wealthiest Americans .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
348	HOLT : I 'd like you to further defend that .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
349	HOLT : And , Mr. Trump , you 're calling for tax cuts for the wealthy .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
350	HOLT : I 'd like you to defend that .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
351	HOLT : And this next two-minute answer goes to you , Mr. Trump .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
352	TRUMP : Well , I 'm really calling for major jobs , because the wealthy are going create tremendous jobs .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
353	TRUMP : They 're going to expand their companies .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
354	TRUMP : They 're going to do a tremendous job .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
355	TRUMP : I 'm getting rid of the carried interest provision .	AG-neutral	NONE	NONE	NONE	NONE	SELF-neutral	NONE
356	TRUMP : And if you really look , it 's not a tax - it 's really not a great thing for the wealthy .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
357	TRUMP : It 's a great thing for the middle class .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
358	TRUMP : It 's a great thing for companies to expand .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
359	TRUMP : And when these people are going to put billions and billions of dollars into companies , and when they 're going to bring $ 2.5 trillion back from overseas , where they ca n't bring the money back , because politicians like Secretary Clinton wo n't allow them to bring the money back , because the taxes are so onerous , and the bureaucratic red tape , so what - is so bad .	NONE	US-negative	GRP-neutral	NONE	OPP-negative	NONE	NONE
360	TRUMP : So what they 're doing is they 're leaving our country , and they 're , believe it or not , leaving because taxes are too high and because some of them have lots of money outside of our country .	NONE	US-negative	GRP-neutral	NONE	NONE	NONE	NONE
361	TRUMP : And instead of bringing it back and putting the money to work , because they ca n't work out a deal to - and everybody agrees it should be brought back .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
362	TRUMP : Instead of that , they 're leaving our country to get their money , because they ca n't bring their money back into our country , because of bureaucratic red tape , because they ca n't get together .	NONE	US-negative	GRP-neutral	NONE	NONE	NONE	NONE
363	TRUMP : Because we have we have a president that ca n't sit them around a table and get them to approve something .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
364	TRUMP : And here 's the thing .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
365	TRUMP : Republicans and Democrats agree that this should be done , $ 2.5 trillion .	NONE	US-neutral	NONE	NONE	OPP-neutral	SELF-neutral	NONE
366	TRUMP : I happen to think it 's double that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
367	TRUMP : It 's probably $ 5 trillion that we ca n't bring into our country , Lester .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
368	TRUMP : And with a little leadership , you 'd get it in here very quickly , and it could be put to use on the inner cities and lots of other things , and it would be beautiful .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
369	TRUMP : But we have no leadership .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
370	TRUMP : And honestly , that starts with Secretary Clinton .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
371	HOLT : All right .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
372	HOLT : You have two minutes of the same question to defend tax increases on the wealthiest Americans , Secretary Clinton .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
373	CLINTON : I have a feeling that by , the end of this evening , I 'm going to be blamed for everything that 's ever happened .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
374	TRUMP : Why not ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
375	CLINTON : Why not ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
376	CLINTON : Yeah , why not ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
377	CLINTON : You know , just join the debate by saying more crazy things .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
378	CLINTON : Now , let me say this , it is absolutely the case ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
379	TRUMP : There 's nothing crazy about not letting our companies bring their money back into their country .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
380	HOLT : This is - this is Secretary Clinton 's two minutes , please .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
381	TRUMP : Yes .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
382	CLINTON : Yeah , well , let 's start the clock again , Lester .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
383	CLINTON : We 've looked at your tax proposals .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
384	CLINTON : I do n't see changes in the corporate tax rates or the kinds of proposals you 're referring to that would cause the repatriation , bringing back of money that 's stranded overseas .	NONE	US-neutral	GRP-neutral	NONE	OPP-negative	SELF-neutral	NONE
385	CLINTON : I happen to support that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
386	TRUMP : Then you did n't read it .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
387	CLINTON : I happen to I happen to support that in a way that will actually work to our benefit .	AG-positive	US-positive	NONE	NONE	NONE	SELF-neutral	NONE
388	CLINTON : But when I look at what you have proposed , you have what is called now the Trump loophole , because it would so advantage you and the business you do .	NONE	NONE	NONE	NONE	OPP-negative	SELF-neutral	NONE
389	CLINTON : You 've proposed an approach that has a ...	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
390	TRUMP : Who gave it that name ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
391	TRUMP : The first I 've - who gave it that name ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
392	HOLT : Mr. Trump , this is Secretary Clinton 's two minutes .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
393	CLINTON : ... $ 4 billion tax benefit for your family .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
394	CLINTON : And when you look at what you are proposing ...	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
395	TRUMP : How much ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
396	TRUMP : How much for my family ?	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
397	CLINTON : ... It is ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
398	TRUMP : Lester , how much ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
399	CLINTON : ... as I said , trumped-up trickle-down .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
400	CLINTON : Trickle-down did not work .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
401	CLINTON : It got us into the mess we were in , in 2008 and 2009 .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
402	CLINTON : Slashing taxes on the wealthy has n't worked .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
403	CLINTON : And a lot of really smart , wealthy people know that .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
404	CLINTON : And they are saying , hey , we need to do more to make the contributions we should be making to rebuild the middle class .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
405	CLINTON : I do n't think top-down works in America .	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
406	CLINTON : I think building the middle class , investing in the middle class , making college debt-free so more young people can get their education , helping people refinance their - their debt from college at a lower rate .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
407	CLINTON : Those are the kinds of things that will really boost the economy .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
408	CLINTON : Broad-based , inclusive growth is what we need in America , not more advantages for people at the very top .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
409	HOLT : Mr. Trump , we 're ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
410	TRUMP : Typical politician .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
411	TRUMP : All talk , no action .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
412	TRUMP : Sounds good , does n't work .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
413	TRUMP : Never going to happen .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
414	TRUMP : Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what 's going on .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
415	TRUMP : Now , look , we have the worst revival of an economy since the Great Depression .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
416	TRUMP : And believe me : We 're in a bubble right now .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
417	TRUMP : And the only thing that looks good is the stock market , but if you raise interest rates even a little bit , that 's going to come crashing down .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
418	TRUMP : We are in a big , fat , ugly bubble .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
419	TRUMP : And we better be awfully careful .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
420	TRUMP : And we have a Fed that 's doing political things .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
421	TRUMP : This Janet Yellen of the Fed .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
422	TRUMP : The Fed is doing political - by keeping the interest rates at this level .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
423	TRUMP : And believe me : The day Obama goes off , and he leaves , and goes out to the golf course for the rest of his life to play golf , when they raise interest rates , you 're going to see some very bad things happen , because the Fed is not doing their job .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
424	TRUMP : The Fed is being more political than Secretary Clinton .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
425	HOLT : Mr. Trump , we 're talking about the burden that Americans have to pay , yet you have not released your tax returns .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
426	HOLT : And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money towho he owes it to and any business conflicts .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
427	HOLT : Do n't Americans have a right to know if there are any conflicts of interest ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
428	TRUMP : I do n't mind releasing I 'm under a routine audit .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
429	TRUMP : And it 'll be released .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
430	TRUMP : And - as soon as the audit 's finished , it will be released .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
431	TRUMP : But you will learn more about Donald Trump by going down to the federal elections , where I filed a 104-page essentially financial statement of sorts , the forms that they have .	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
432	TRUMP : It shows income - in fact , the income - I just looked today - the income is filed at $ 694 million for this past year , $ 694 million .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
433	TRUMP : If you would have told me I was going to make that 15 or 20 years ago , I would have been very surprised .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
434	TRUMP : But that 's the kind of thinking that our country needs .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
435	TRUMP : When we have a country that 's doing so badly , that 's being ripped off by every single country in the world , it 's the kind of thinking that our country needs , because everybody - Lester , we have a trade deficit with all of the countries that we do business with , of almost $ 800 billion a year .	NONE	US-negative	GRP-negative	NONE	NONE	NONE	NONE
436	TRUMP : You know what that is ?	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
437	TRUMP : That means , who 's negotiating these trade deals ?	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
438	TRUMP : We have people that are political hacks negotiating our trade deals .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
439	HOLT : The IRS says an audit ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
440	TRUMP : Excuse me .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
441	HOLT : ... of your taxes - you're perfectly free to release your taxes during an audit .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
442	HOLT : And so the question , does the public 's right to know outweigh your personal ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
443	TRUMP : Well , I told you , I will release them as soon as the audit .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
444	TRUMP : Look , I 've been under audit almost for 15 years .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
445	TRUMP : I know a lot of wealthy people that have never been audited .	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
446	TRUMP : I said , do you get audited ?	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
447	TRUMP : I get audited almost every year .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
448	TRUMP : And in a way , I should be complaining .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
449	TRUMP : I 'm not even complaining .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
450	TRUMP : I do n't mind it .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
451	TRUMP : It 's almost become a way of life .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
452	TRUMP : I get audited by the IRS .	NONE	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
453	TRUMP : But other people do n't .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
454	TRUMP : I will say this .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
